id,title,duration,markers,points,tags,overlaps,short,long,exact_dupes,penalty
177,"Anna Gold, Jazzy Jay, Sai Tai Tiger in Schlamm Schlacht Sc2",966.67,6,0,2,0,0,0,0,0
178,"Anna Gold, Sai Tai Tiger in The Very Best Of Sperma Gangbang Sc2",800.35,6,0,2,0,0,1,0,1
179,"Anna Gold, Sai Tai Tiger in The Very Best Of Sperma Gangbang Sc5",915.47,5,0,2,0,0,0,0,0
180,"Anna Gold, Sai Tai Tiger, Salma De Nora in The Very Best Of Sperma Gangbang Sc3",1138.83,8,0,2,0,0,0,0,0
181,"Mya Diamond in Frauen Knast, Teufelsbrut Hinter Gittern! Sc1",955.18,2,0,1,0,0,0,0,0
182,"Mya Diamond in Frauen Knast, Teufelsbrut Hinter Gittern! Sc5",336.28,1,0,1,0,0,1,0,1
183,Sai Tai Tiger in Die Haremswächterin des Öl Scheichs Sc3,986.29,3,0,1,0,0,0,0,0
186,"Sai Tai Tiger in Frauen Knast, Teufelsbrut Hinter Gittern! Sc2",1004.31,1,0,1,0,0,0,0,0
187,Sai Tai Tiger in The Very Best Of Sperma Gangbang Sc1,669.9,1,0,1,0,0,1,0,1
188,Sai Tai Tiger in The Very Best Of Sperma Gangbang Sc4,523.91,2,0,1,0,0,0,0,0
190,"Sai Tai Tiger, Salma De Nora in The Very Best Of Sperma Gangbang Sc7",444.5,3,0,2,0,0,1,0,1
191,Aderes Quin in StepMom Gets Double Dick,2797.73,11,0,2,0,0,0,0,0
192,Alejandra Rico in Que Rico!,1346.01,4,0,2,0,0,0,0,0
193,"Alexa Flexy, Monika Fox in Balls Deep Russia Ritual",1367.91,5,0,2,0,0,0,0,0
194,"Athenea Rose in Caught Mid Robbery, DP Ensues",2422.35,7,0,2,0,0,0,0,0
195,"Athenea Rose in Safe Cracked, Holes Filled",2387.01,6,0,4,0,0,1,0,1
196,Ava Devine in Milf Asian Cummouth Facial,1971.46,8,0,2,0,0,0,0,0
197,"Barbie Sins in Anal Domination, 6on1 DAP",2676.75,11,0,4,0,0,0,0,0
198,Barbie Sins in DP Bandits! Sc4,2951.67,8,0,1,0,0,0,0,0
199,Blanche Bradburry in 10 Guy Anal Showdown,5188.42,16,0,3,0,0,0,0,0
200,Blanche Bradburry in Gangbang Anal Blitz,2098.1,6,0,1,0,0,0,0,0
201,Blanche Bradburry in Hardcore 8×DAP Ordeal,4003.86,10,0,4,0,0,0,0,0
202,Blanche Bradburry in Rough DAP Gangbang,3178.32,6,0,2,0,0,0,0,0
203,Blanche Bradburry in Triple Penetration Madness,3097.07,8,0,2,0,0,0,0,0
204,"Blanche Bradburry, Jessie Volt, Sandra Luberc in Raw Anal Lineup",3392.67,5,0,1,0,0,0,0,0
205,"Blanche Bradburry, Linda Sweet, Timea Bella in Rough Double Anal Assault",3460.38,7,0,2,0,0,0,0,0
206,"Blanche Bradburry, Nathaly Cherie, Vicktoria Redd in Kreme Porno",3478.7,7,0,2,0,0,0,0,0
207,"Blanche Bradburry, Nicky Dream in Double Anal Blond Bombshell",4584.67,6,0,3,0,0,0,0,0
208,Cherry Kiss in DP Bandits! Sc2,2380.63,5,0,1,0,0,0,0,0
209,"Claudia Garcia, Jennifer Mendez in 5on2 Bootylicious Blowout",3294.08,17,0,6,0,0,0,0,0
210,Destiny Mira in Put My Back Into It,1176.67,2,0,1,0,0,0,0,0
211,"Jolee Love in 9on1 Wet Frenzy, DAP",6115.7,16,0,4,0,0,0,0,0
212,Jolee Love in Craving For Cocks,3458.3,7,0,3,0,0,0,0,0
213,Jolee Love in DP Bandits! 2 Sc3,3020.64,8,0,3,0,0,0,0,0
214,Jolee Love in Hardcore DAP Creampie,2874.07,5,0,2,0,0,0,0,0
215,,2020.04,3,0,1,0,0,0,0,0
216,,1843.83,2,0,1,0,0,0,0,0
217,,2426.39,4,0,2,0,0,0,0,0
218,,2378.98,2,0,1,0,0,0,0,0
219,,2209.99,12,0,3,0,0,0,0,0
220,,2484.12,3,0,1,0,0,0,0,0
221,,1027.97,6,0,3,0,0,0,0,0
222,"Adriana Chechik, Teanna Trump, Vicki Chase in Star Sc4",3097.41,18,0,3,0,0,0,0,0
223,,2142.37,14,0,4,0,0,0,0,0
224,"Adreena Winters, Ani Black Fox in Ani Black Fox im Spermaland Teil 2 Sc2",2381.19,10,0,3,0,0,0,0,0
225,,2856.41,9,0,2,0,0,0,0,0
226,,2213.08,14,0,4,0,0,0,0,0
227,Adriana Chechik in Horny Housewives 6 Sc2,2073.71,8,0,2,0,0,0,0,0
228,Adira Allure in Airtight Diva Sc4,1848.07,4,0,2,0,0,0,0,0
229,Alexis Tae in Gangbang Sluts Sc1,2470.0,15,0,3,0,0,0,0,0
230,Amirah Adara in DP Bandits! Sc1,3162.37,8,0,1,0,0,0,0,0
231,Ana Nova in 6 Black Sticks 1 White Trick Sc1,1838.44,11,0,4,0,0,0,0,0
232,Anai Loves in My stepmom,1847.97,4,0,2,0,0,0,0,0
233,Angela White in Angela's Airtight DP,2710.14,7,0,3,0,0,1,0,1
234,Anissa Kate in Love Everything About Her,2003.57,4,0,2,0,0,0,0,0
235,Anissa Kate in Sizziling Double Penetration Delight,1963.0,7,0,3,0,0,0,0,0
236,"Anissa Kate, Olivia Del Rio in Personal Guide Chapter 1",1572.27,1,0,1,0,0,0,0,0
237,"Anne Castro, Belinha Baracho, Claudia Bella in Anal Integrity Sc5",2276.54,6,0,2,0,0,0,0,0
238,Asa Akira in The Greatest Gangbangs Ever! Sc1,2911.74,11,0,3,0,0,0,0,0
239,"Asia Deville, Sai Tai Tiger in Sperma Gang Bang Sc6",1808.53,10,0,2,0,0,0,0,0
240,Assh Lee in All Over That Cock,1501.5,2,0,1,0,0,0,0,0
241,"August Taylor, Reena Sky in Busty Cops On Patrol 3 Sc4",1811.95,5,0,1,0,0,0,0,0
242,Baby Gemini in Ricky's Room Blowbang,930.94,7,0,1,0,0,0,0,0
243,Barbie Sins in DAP with Creampie,2322.6,5,0,1,0,0,0,0,0
244,Belinha Baracho in Hardcore 5on1 Gangbang,4231.12,21,0,2,0,0,0,0,0
245,Belinha Baracho in Intense 5on1 Gangbang,3285.92,14,0,3,0,0,0,0,0
246,"Belinha Baracho, Eva Perez in Assfucked Together",3969.33,8,0,1,0,0,0,0,0
247,"Belinha Baracho, Polly Petrova in Fucked by Big Cocks",4620.67,6,0,3,0,0,0,0,0
248,"Belinha Baracho, Sandy Cortez in 2on2 Orgy",3686.05,6,0,3,0,0,0,0,0
